Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,412.649994,415.250000,412.630005,414.209991,412.635803,2963700
2023-07-18,413.910004,417.929993,413.540009,417.350006,415.763885,3597300
2023-07-19,418.070007,419.369995,417.489990,418.250000,416.660461,3494900
2023-07-20,417.299988,418.160004,414.820007,415.519989,413.940826,4085000
2023-07-21,417.109985,417.299988,415.480011,415.570007,413.990662,3175700
2023-07-24,416.579987,418.100006,416.019989,417.329987,415.743958,3471100
2023-07-25,417.079987,419.649994,417.070007,418.559998,416.969269,3949300
2023-07-26,417.619995,419.890015,416.579987,418.660004,417.068909,6138800
2023-07-27,421.790009,422.149994,414.920013,415.820007,414.239716,4149400
2023-07-28,418.929993,420.619995,418.160004,419.869995,418.274292,2701200
2023-07-31,420.320007,420.970001,419.049988,420.679993,419.081207,3452100
2023-08-01,419.260010,420.079987,418.549988,419.380005,417.786163,3118000
2023-08-02,416.459991,416.700012,412.880005,413.570007,411.998260,4973700
2023-08-03,411.679993,414.190002,411.089996,412.399994,410.832703,3022300
2023-08-04,414.149994,416.130005,410.029999,410.380005,408.820374,5714600
2023-08-07,412.290009,414.239990,411.640015,414.079987,412.506287,2598000
2023-08-08,411.760010,412.739990,409.130005,412.290009,410.723114,3780100
2023-08-09,412.660004,412.730011,408.850006,409.549988,407.993500,3145900
2023-08-10,411.799988,415.049988,408.619995,409.790009,408.232635,4588300
2023-08-11,407.950012,410.410004,407.339996,409.410004,407.854065,2917900
2023-08-14,408.559998,411.739990,408.309998,411.720001,410.155273,2772900
2023-08-15,410.089996,411.709991,406.410004,407.000000,405.453217,4686100
2023-08-16,406.589996,408.109985,403.869995,403.989990,402.454651,3353700
2023-08-17,405.329987,405.579987,400.369995,400.720001,399.197083,7102500
2023-08-18,398.170013,402.019989,397.850006,401.089996,399.565674,4156500
2023-08-21,402.140015,404.390015,399.989990,403.739990,402.205597,3292400
2023-08-22,405.350006,405.399994,402.059998,402.609985,401.079895,2648100
2023-08-23,403.559998,407.670013,403.470001,406.950012,405.403412,3250000
2023-08-24,408.600006,409.079987,401.399994,401.540009,400.013977,3458800
2023-08-25,403.079987,405.799988,399.709991,404.200012,402.663879,4417800
2023-08-28,406.359985,407.440002,405.100006,406.859985,405.313721,3236700
2023-08-29,406.779999,412.980011,406.570007,412.640015,411.071808,3482700
2023-08-30,413.029999,415.029999,412.399994,414.359985,412.785217,3004500
2023-08-31,414.980011,416.119995,413.660004,413.829987,412.257233,4751100
2023-09-01,416.459991,416.880005,413.209991,414.709991,413.133911,3587100
2023-09-05,414.200012,414.470001,412.769989,412.899994,411.330780,4426700
2023-09-06,412.100006,412.130005,407.829987,410.049988,408.491608,3744100
2023-09-07,407.170013,409.429993,406.859985,408.829987,407.276245,2245800
2023-09-08,408.820007,410.839996,408.489990,409.390015,407.834137,4124400
2023-09-11,411.880005,412.380005,410.290009,412.079987,410.513885,3346600
2023-09-12,410.700012,412.149994,409.290009,409.869995,408.312317,7595300
2023-09-13,410.029999,411.399994,408.989990,410.350006,408.790497,2529700
2023-09-14,412.670013,414.510010,411.420013,413.899994,412.326996,3660900
2023-09-15,412.339996,412.670013,408.480011,408.739990,407.186584,3999700
2023-09-18,408.579987,410.339996,408.160004,409.190002,407.634888,3014600
2023-09-19,408.220001,408.809998,405.709991,408.369995,406.817993,3623300
2023-09-20,409.459991,409.839996,404.329987,404.549988,403.012512,4009400
2023-09-21,401.799988,402.049988,397.690002,397.920013,396.407745,4621000
2023-09-22,398.799988,400.329987,396.559998,396.959991,395.451355,7204200
2023-09-25,395.760010,398.640015,395.369995,398.609985,397.095093,3227900
2023-09-26,395.720001,396.359985,391.959991,392.760010,391.267334,5734700
2023-09-27,393.839996,394.390015,389.450012,392.850006,391.356995,4837700
2023-09-28,390.869995,395.269989,390.329987,393.640015,393.640015,4065800
2023-09-29,396.619995,396.739990,391.299988,392.700012,392.700012,5762900
2023-10-02,391.899994,393.760010,389.970001,392.670013,392.670013,5886200
2023-10-03,390.579987,391.929993,386.029999,387.390015,387.390015,6886700
2023-10-04,387.730011,390.850006,386.399994,390.239990,390.239990,4333700
2023-10-05,389.890015,390.790009,386.950012,389.910004,389.910004,3329100
2023-10-06,387.690002,396.089996,386.410004,394.559998,394.559998,4896100
2023-10-09,392.769989,397.690002,392.309998,397.190002,397.190002,2959500
2023-10-10,397.769989,401.679993,397.390015,399.239990,399.239990,3289600
2023-10-11,400.269989,401.089996,397.989990,400.929993,400.929993,4181800
2023-10-12,401.480011,401.799988,396.200012,398.519989,398.519989,3872900
2023-10-13,399.809998,400.959991,394.959991,396.420013,396.420013,3769800
2023-10-16,398.570007,401.600006,398.339996,400.570007,400.570007,5150900
2023-10-17,397.630005,402.500000,397.309998,400.579987,400.579987,4214600
2023-10-18,398.890015,399.809998,394.220001,395.220001,395.220001,7329300
2023-10-19,395.970001,397.600006,391.140015,391.869995,391.869995,6708900
2023-10-20,391.380005,391.820007,386.839996,386.989990,386.989990,7546900
2023-10-23,385.480011,389.940002,383.850006,386.309998,386.309998,5537100
2023-10-24,388.279999,390.260010,386.549988,389.200012,389.200012,4451500
2023-10-25,387.600006,387.679993,383.119995,383.709991,383.709991,5471200
2023-10-26,382.630005,383.399994,378.149994,379.000000,379.000000,6959400
2023-10-27,380.529999,380.890015,375.950012,377.320007,377.320007,5638800
2023-10-30,379.910004,382.799988,378.709991,381.859985,381.859985,5795800
2023-10-31,382.350006,384.480011,380.559998,384.170013,384.170013,4523200
2023-11-01,385.089996,389.079987,384.619995,388.399994,388.399994,5549200
2023-11-02,391.929993,395.910004,391.920013,395.779999,395.779999,4752200
2023-11-03,397.920013,400.850006,397.839996,399.440002,399.440002,5980300
2023-11-06,400.119995,400.730011,398.459991,400.209991,400.209991,4007100
2023-11-07,400.260010,402.040009,399.230011,401.339996,401.339996,3358600
2023-11-08,401.989990,402.500000,399.559998,401.670013,401.670013,3730700
